has_title,has_input,has_button,has_image,has_submit,has_link,has_password,has_email_input,has_hidden_element,has_audio,has_video,number_of_inputs,number_of_buttons,number_of_images,number_of_option,number_of_list,number_of_th,number_of_tr,number_of_href,number_of_paragraph,number_of_script,length_of_title,has_h1,has_h2,has_h3,length_of_text,number_of_clickable_button,number_of_a,number_of_img,number_of_div,number_of_figure,has_footer,has_form,has_text_area,has_iframe,has_text_input,number_of_meta,has_nav,has_object,has_picture,number_of_sources,number_of_span,number_of_table,URL,label
1,1,1,0,1,1,0,0,1,0,0,12,2,0,0,6,0,0,12,2,11,5,1,0,0,702,1,3,5,24,0,0,1,0,1,1,6,0,0,0,0,2,0,https://nvk.pages.dev/,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,17,37,0,0,0,151,0,0,0,3,0,0,0,0,0,0,13,0,0,0,0,0,0,https://docs.google.com/presentation/d/e/2PACX-1vQg46vh-YQJEizkc5UnwJjRO39lvNqiAoBmHyPlCgb91yC3u-0EIQgid43sI_4MvBxDXNjnjfxCL5GG/pub?start=false&amp;loop=false&amp;delayms=3000,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,17,20,0,0,0,134,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,https://docs.google.com/presentation/d/e/2PACX-1vRvMFhl-w-MXSNqGx6WUc2HsnnJVmpjrv9NLydFmm3s8rdhsOfEVY-Pdy5Nd9Z46lDCRJqy1ZyrMVv_/pub?start=true&amp;loop=false&amp;delayms=1000,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,https://storage.googleapis.com/teamspass/Newtomplait/lasttomplait/newgmail.html#2826485af7393518QA365487946XP2299hC24ZXr188438Ba,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,28,28,0,0,0,241,0,2,4,26,0,0,0,0,1,0,13,0,0,0,0,2,0,https://hyperfollow.com/abbdbbd,1
1,1,1,0,0,1,1,0,0,0,0,5,3,0,0,8,0,0,3,7,10,24,1,1,1,6813,2,90,83,349,0,1,1,1,0,0,19,0,0,0,0,3,0,http://migrate-fix.pages.dev,1
1,1,1,0,0,1,1,0,0,0,0,5,3,0,0,8,0,0,3,7,10,24,1,1,1,6813,2,90,83,349,0,1,1,1,0,0,19,0,0,0,0,3,0,https://migrate-fix.pages.dev/,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://pub-456e2cee19524603ba764c74319197ac.r2.dev/docu.html#x@x.com,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,17,37,0,0,0,151,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,https://docs.google.com/presentation/d/e/2PACX-1vSpjda760dY9gS6EFZ3b2Zoh_r2iZG9LZ4VLaZBM4YwVM82sXpq4001_i2HHbsAAt6Eb18d30NKiQXm/pub?start=false&loop=false&delayms=3000&slide=id.p,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,6,48,1,0,0,210,0,1,2,4,0,0,0,0,0,0,4,0,0,0,0,0,0,http://vpunxrf00.urest.org,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,17,36,0,0,0,150,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,https://docs.google.com/presentation/d/e/2PACX-1vRu7zPJneJthleTb63I4mxFYOLg720Y0CxGVrtUojrJ9g_VbO6LCQZwTOkgRJJnZ2EZ4cKgweUvdSte/pub?start=false&amp;loop=false&amp;delayms=3000,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,17,37,0,0,0,151,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,https://docs.google.com/presentation/d/e/2PACX-1vT5Nk0KcRR7ZrdyXI97FyuS3EZhpOqND1ZOThaS7tWsKrVJ8BLOrTdirZEM-KheeHbj-PJBwn4Z9ICm/pub?start=false&amp;loop=false&amp;delayms=3000,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,19,13,0,0,0,59,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,https://new.express.adobe.com/webpage/gVATlQmNvstoU/,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,19,13,0,0,0,59,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,https://new.express.adobe.com/webpage/8LO35RSbjcfyk,1
1,1,0,0,1,1,1,1,0,0,0,3,0,0,0,2,0,0,2,0,1,19,0,1,0,72,0,0,2,4,0,0,1,0,0,0,7,0,0,0,0,0,0,https://cloudflare-ipfs.com/ipfs/QmZACKUDJuekTfK92uQKSGJJG9MfZf3d956JBzzCwhqEt1/Sign-in.html,1
